DRUGBANK_ID,Drug_Number,SMILES
DB01110,0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB01234,1,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB08814,2,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
DB00661,3,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
DB00909,4,NS(=O)(=O)Cc1noc2ccccc12
DB04841,5,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
DB00201,6,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00277,7,Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00640,8,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB00651,9,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
DB00996,10,NCC1(CC(=O)O)CCCCC1
DB01223,11,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN
DB01412,12,Cn1cnc2c1c(=O)[nH]c(=O)n2C
DB00619,13,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
DB01254,14,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
DB04868,15,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
DB00244,16,Nc1ccc(O)c(C(=O)O)c1
DB00316,17,CC(=O)Nc1ccc(O)cc1
DB00328,18,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
DB00350,19,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
DB00461,20,COc1ccc2cc(CCC(C)=O)ccc2c1
DB00465,21,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
DB00469,22,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
DB00500,23,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
DB00554,24,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
DB00586,25,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
DB00605,26,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
DB00712,27,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
DB00749,28,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
DB00784,29,Cc1cccc(Nc2ccccc2C(=O)O)c1C
DB00788,30,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
DB00795,31,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
DB00812,32,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
DB00814,33,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
DB00821,34,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
DB00870,35,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
DB00945,36,CC(=O)Oc1ccccc1C(=O)O
DB00963,37,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
DB00991,38,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
DB01009,39,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
DB01014,40,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1
DB01050,41,CC(C)Cc1ccc(C(C)C(=O)O)cc1
DB01283,42,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
DB01399,43,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
DB01435,44,Cc1cc(=O)n(-c2ccccc2)n1C
DB02266,45,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
DB02709,46,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
DB04552,47,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
DB06725,48,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
DB06802,49,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
DB00246,50,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
